,full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college
388,Tony Bradley,70,13,Utah Jazz,F-C,1998-01-08,2.08,112.5,1962360,USA,2017,1,28,North Carolina
389,Hamidou Diallo,70,6,Oklahoma City Thunder,G,1998-07-31,1.96,89.8,1416852,USA,2018,2,45,Kentucky
390,Melvin Frazier,70,35,Orlando Magic,F,1996-08-30,1.96,91.2,1416852,USA,2018,2,35,Tulane
391,Solomon Hill,70,44,Miami Heat,F,1991-03-18,1.98,102.5,13290395,USA,2013,1,23,Arizona
392,Alize Johnson,70,24,Indiana Pacers,F,1996-04-26,2.01,91.2,1416852,USA,2018,2,50,Missouri State
393,Skal Labissiere,70,0,Atlanta Hawks,C-F,1996-03-18,2.08,98.0,2338846,Haiti,2016,1,28,Kentucky
395,Sviatoslav Mykhailiuk,70,19,Detroit Pistons,G,1997-06-10,2.01,93.0,1416852,Ukraine,2018,2,47,Kansas
396,Johnathan Motley,70,15,Los Angeles Clippers,F,1995-05-04,2.03,104.3,79568,USA,2017,Undrafted,Undrafted,Baylor
397,Abdel Nader,70,11,Oklahoma City Thunder,F,1993-09-25,1.96,102.1,1618520,Egypt,2016,2,58,Iowa State
399,Caleb Swanigan,70,50,Portland Trail Blazers,C,1997-04-18,2.06,112.9,2033160,USA,2017,1,26,Purdue
400,Jarred Vanderbilt,70,0,Minnesota Timberwolves,F,1999-04-03,2.06,97.1,1416852,USA,2018,2,41,Kentucky
402,Jordan Poole,70,3,Golden State Warriors,G,1999-06-19,1.93,88.0,1964760,USA,2019,1,28,Michigan
403,Talen Horton-Tucker,70,5,Los Angeles Lakers,G,2000-11-20,1.93,106.1,898310,USA,2019,2,46,Iowa State
406,Naz Reid,70,11,Minnesota Timberwolves,C,1999-08-26,2.06,112.9,898310,USA,2019,Undrafted,Undrafted,LSU
407,Ignas Brazdeikis,70,17,New York Knicks,F,1999-01-08,1.98,98.0,898310,Canada,2019,2,47,Michigan
408,Deonte Burton,70,30,Oklahoma City Thunder,G,1991-06-26,1.93,108.9,1416852,USA,2014,Undrafted,Undrafted,Iowa State
409,Justin James,70,10,Sacramento Kings,G,1997-01-24,2.01,86.2,898310,USA,2019,2,40,Wyoming
411,Devonte Graham,69,0,Charlotte Hornets,G,1995-02-22,1.85,83.9,1416852,USA,2018,2,34,Kansas
413,Khyri Thomas,69,13,Detroit Pistons,G,1996-05-08,1.91,95.3,1416852,USA,2018,2,38,Creighton
414,Theo Pinson,69,0,New York Knicks,G,1995-11-05,1.96,99.8,1445697,USA,2018,Undrafted,Undrafted,North Carolina
